Data Series,total_deposits_from_non-bank_customer,Prime Lending Rate,CPI_all_items_base_2019,DSPI_all_items_base_2018,IPI_all_items_base_2018,EPI_all_items_base_2018,lag3q_Total Population (Number),lag3q_Total Population Growth (Per Cent),lag3q_Age Dependency Ratio: Residents Aged Under 15 Years And 65 Years Per Hundred Residents Aged 15-64 Years (Number),lag3q_per_capita_GDP_in_chain_2015,GDP_year_on_year_growth_rate_current_price,gross_fixed_capital_formation_current_price,total_government_debt,domestic_debt,external_debt,Personal Disposable Income (Million Dollars),Personal Saving (Million Dollars),Personal Saving Rate (Per Cent),composite_leading_index_base_2015,gross_fixed_capital_formation_in_chain_2015,Unit Labour Cost Of Overall Economy,GDP_in_chain_2015,GDP_year_on_year_growth_rate_in_chain_2015,average_MNE_per_employee_overall_economy,total_change_in_employment_quarterly,housing_and_development_board_resale_price_index,Compound SORA - 1 month,Compound SORA - 3 month,Compound SORA - 6 month,household_net_worth,Total Unemployment Rate,Resident Unemployment Rate,Citizen Unemployment Rate
2005 3Q,655068.2,5.3,77.09533333333333,110.36500000000001,117.245,122.832,4166664.0,1.3,39.5,54795.0,9.1,12252.5,202633.6,202633.6,0.0,25266.2,4409.8,17.5,80.0,13942.4,83.7,61871.1,8.5,3166.0,28500.0,73.2,2.1118,,,687033.4,2.9,3.8,4.1
2005 4Q,669345.2,5.3,77.54899999999999,109.89333333333333,117.175,122.78666666666668,4265762.0,2.4,39.1,57465.0,10.5,13664.8,200005.6,200005.6,0.0,28914.6,6992.8,24.2,81.0,15492.3,83.6,63863.9,9.2,3843.0,35300.0,73.5,2.8767,2.5711,,697405.3,2.6,3.4,3.7
2006 1Q,680720.0,5.3,77.372,111.23133333333334,118.04066666666667,125.09233333333333,4265762.0,2.4,39.1,57465.0,10.5,12790.0,202016.2,202016.2,0.0,28886.7,6843.7,23.7,81.8,14427.2,84.1,64987.4,10.2,3700.0,45000.0,73.6,3.1984,3.1908,2.8946,717170.7,2.2,2.9,3.2
2006 2Q,721965.1,5.3,77.43266666666666,113.84100000000001,119.28066666666666,123.94966666666666,4265762.0,2.4,39.1,57465.0,11.9,12492.2,207714.9,207714.9,0.0,28501.3,6339.9,22.2,82.3,14114.6,84.9,65714.2,8.8,3297.0,36400.0,74.3,3.2424,3.1379,3.1809,726811.6,3.4,4.5,4.7
2006 3Q,749743.8,5.32,77.65733333333333,114.41933333333333,119.18933333333332,123.325,4265762.0,2.4,39.1,57465.0,11.2,13911.7,211387.0,211387.0,0.0,27422.7,5225.9,19.1,82.0,15681.3,85.3,66961.0,8.6,3256.0,43000.0,74.2,3.3097,3.2571,3.2069,745092.1,2.4,3.2,3.2
2006 4Q,795206.3,5.33,78.007,107.82133333333333,114.495,118.50699999999999,4401365.0,3.2,38.5,60711.0,10.6,15327.5,206438.7,206438.7,0.0,31654.1,8064.4,25.5,83.9,17166.9,86.2,69557.6,8.5,3961.0,51500.0,74.9,3.1566,3.278,3.2808,769610.2,2.6,3.6,3.7
2007 1Q,850969.0,5.33,77.271,106.765,112.789,116.98366666666668,4401365.0,3.2,38.5,60711.0,13.9,15107.8,211055.7,211055.7,0.0,31759.5,7925.9,25.0,87.3,16418.4,88.1,70566.9,8.6,3903.0,49400.0,75.8,2.5594,2.9446,3.1255,803806.1,2.5,3.4,3.5
2007 2Q,907065.3,5.33,78.31533333333334,111.20933333333333,115.07366666666667,118.23466666666667,4401365.0,3.2,38.5,60711.0,16.9,15962.4,222813.7,222813.7,0.0,30460.5,5740.7,18.8,90.3,16961.7,91.1,72209.6,10.0,3578.0,64400.0,78.1,2.187,2.2641,2.6142,854024.2,2.9,4.0,4.2
2007 3Q,920736.8999999999,5.33,80.09833333333333,113.43400000000001,116.481,118.55166666666666,4401365.0,3.2,38.5,60711.0,17.3,15948.6,228451.7,228451.7,0.0,30689.2,5673.1,18.5,90.8,16885.0,89.2,74131.0,11.0,3481.0,58600.0,83.2,2.2305,2.2806,2.2788,889085.7,1.5,2.1,2.2
2007 4Q,941570.8,5.33,81.31933333333333,117.12166666666667,117.86366666666667,119.12133333333333,4588599.0,4.3,37.9,63488.0,13.9,19453.1,234093.2,234093.2,0.0,34770.4,8080.0,23.2,90.7,20643.4,91.4,74448.5,6.6,4130.0,62500.0,88.0,0.9049,1.6103,1.9512,914074.4,1.6,2.3,2.5
2008 1Q,970006.0,5.38,82.39733333333334,119.17866666666667,118.08133333333335,118.66633333333334,4588599.0,4.3,37.9,63488.0,8.1,18480.3,243920.1,243920.1,0.0,35050.0,8247.6,23.5,89.0,19429.2,89.1,76342.4,8.2,4316.0,73200.0,91.3,0.7635,1.0867,1.3521,930602.5,1.8,2.6,2.8
2008 2Q,1003673.0,5.38,84.22666666666667,127.91100000000002,122.25866666666667,122.97533333333332,4588599.0,4.3,37.9,63488.0,2.2,19323.6,250703.3,250703.3,0.0,32055.9,4744.2,14.8,88.9,20036.0,91.2,74425.3,3.3,3690.0,71400.0,95.4,0.3334,0.513,0.7985,938489.9,2.8,4.0,4.1
2008 3Q,1014193.6,5.38,85.37366666666667,130.83733333333333,125.20833333333333,124.65866666666666,4588599.0,4.3,37.9,63488.0,0.1,19381.1,248406.9,248406.9,0.0,33657.1,6272.4,18.6,88.7,19682.1,94.1,73948.4,-0.1,3674.0,55700.0,99.4,1.1193,0.6927,0.6033,927667.0,1.9,2.8,2.9
2008 4Q,1039721.0,5.38,86.01666666666667,104.45733333333334,110.68633333333332,112.64866666666667,4839396.0,5.5,37.2,61319.0,-7.6,19460.8,255464.8,255464.8,0.0,35335.7,7392.3,20.9,79.9,19387.9,94.9,72248.2,-3.4,4229.0,21300.0,100.8,0.3899,0.4664,0.58,912107.5,2.4,3.5,3.7
