"MSB I.4 Commercial Banks: Deposits (excluding S$NCDs) of DBUs by Types of Non-bank Customers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S$ MILLION"
"END OF PERIOD","TOTAL DEPOSITS - TOTAL","TOTAL DEPOSITS - IN S$","TOTAL DEPOSITS - IN FOREIGN CURRENCIES","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - TOTAL","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - SAVINGS AND OTHER DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","SINGAPORE GOVERNMENT AND STATUTORY BOARDS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - TOTAL","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF NON-BANK FINANCIAL INSTITUTIONS - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - TOTAL","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF OTHER RESIDENTS IN SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - TOTAL","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - SAVINGS AND OTHER DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - DEMAND DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - FIXED DEPOSITS","DEPOSITS OF RESIDENTS OUTSIDE SINGAPORE - OF WHICH FOREIGN CURRENCY * - SAVINGS AND OTHER DEPOSITS"
1991 Jan,64379.7,62863.4,1516.3,13268.9,745.9,12521.5,1.5,0.0,0.1,0.0,4600.4,898.2,3701.4,0.9,108.4,19.1,0.0,40761.4,6322.9,24761.6,9676.9,387.7,278.0,12.2,5749.0,670.9,4107.5,970.6,65.3,640.8,4.7
1991 Feb,64893.4,63400.7,1492.7,13563.3,831.6,12730.1,1.6,0.0,0.1,0.0,4435.2,926.0,3508.4,0.9,167.3,7.1,0.0,41123.1,6233.2,24913.8,9976.2,361.5,269.8,12.9,5771.7,714.3,4105.7,951.7,70.9,601.4,1.7
1991 Mar,65503.4,64035.8,1467.6,14003.0,949.0,13052.6,1.4,0.0,0.1,0.0,4250.7,903.5,3346.4,0.9,139.0,9.4,0.0,41616.4,6287.0,25182.4,10147.0,345.5,265.3,11.6,5633.3,660.5,4005.1,967.7,77.2,616.8,2.7
1991 Apr,65437.0,64044.8,1392.2,13646.6,908.8,12736.4,1.4,0.0,0.1,0.0,4219.6,860.2,3358.4,1.0,96.6,4.5,0.1,41857.1,6195.1,25510.0,10152.0,337.4,237.4,12.1,5713.6,704.8,4028.6,980.2,61.7,639.6,2.7
1991 May,66470.8,65037.0,1433.8,14493.0,697.2,13794.6,1.2,0.0,0.1,0.0,3777.9,710.5,3066.6,0.9,123.8,7.3,0.0,42407.2,6461.8,25751.1,10194.3,360.3,256.2,10.4,5792.7,649.2,4169.8,973.7,56.0,617.4,2.3
1991 Jun,67083.0,65662.1,1420.9,14548.6,666.1,13881.3,1.2,0.0,0.1,0.0,4359.1,684.8,3673.4,0.9,95.0,7.6,0.0,42579.8,6464.8,25936.7,10178.3,361.9,252.3,11.0,5595.5,692.7,3923.6,979.2,65.3,624.4,3.5
1991 Jul,69023.2,67549.1,1474.1,14888.6,736.0,14151.5,1.2,0.0,0.1,0.0,4062.5,694.6,3367.0,0.9,139.6,1.6,0.0,44521.4,7954.4,26566.8,10000.2,355.0,247.0,19.0,5550.7,663.2,3931.7,955.9,53.0,657.2,1.8
1991 Aug,68403.5,66985.2,1418.3,14824.0,764.5,14058.0,1.4,0.0,0.1,0.0,4433.1,904.0,3528.0,1.1,114.5,0.8,0.0,43403.8,6177.1,27084.8,10142.0,329.9,233.1,27.2,5742.5,642.9,4113.0,986.6,55.6,646.0,11.1
1991 Sep,69314.4,67839.5,1474.9,15114.1,796.9,14316.0,1.3,0.0,0.0,0.0,4685.2,892.9,3791.4,0.9,152.2,1.2,0.0,43869.0,6337.1,27329.1,10202.8,379.6,228.4,30.4,5646.0,654.0,4005.7,986.3,52.8,620.0,10.4
1991 Oct,69007.3,67626.8,1380.5,14561.4,813.9,13746.2,1.3,0.0,0.0,0.0,4525.8,910.5,3614.4,0.9,145.7,0.8,0.0,44257.3,6484.3,27472.4,10300.6,345.6,228.2,23.8,5662.8,706.9,3920.8,1035.0,63.7,562.7,10.0
1991 Nov,70483.3,69089.1,1394.2,15204.1,1132.2,14070.6,1.2,0.0,0.0,0.0,4627.7,874.4,3752.3,1.0,109.2,0.8,0.0,45046.4,6686.7,27680.7,10679.0,447.6,219.1,23.6,5605.0,588.0,3983.9,1033.1,59.8,532.8,1.3
1991 Dec,72241.1,70868.8,1372.3,15444.5,1374.9,14068.2,1.3,0.0,0.0,0.0,5004.2,1153.8,3849.3,1.1,131.6,0.5,0.0,45946.9,6989.7,27619.8,11337.5,399.6,230.6,30.9,5845.5,772.4,3991.5,1081.6,52.5,524.7,1.8
1992 Jan,71821.8,70451.7,1370.0,15046.4,1021.0,14024.1,1.4,0.0,0.0,0.0,4114.9,876.9,3236.4,1.7,81.4,0.6,0.0,46791.1,7299.3,27873.1,11618.7,426.5,252.4,27.7,5869.3,697.6,4045.0,1126.7,56.6,521.1,3.8
1992 Feb,72773.9,71409.7,1364.2,15555.5,1120.0,14434.4,1.2,0.0,0.0,0.0,4130.4,776.4,3352.3,1.6,105.2,0.6,0.0,46989.6,6830.1,28356.6,11803.0,383.6,266.7,29.3,6098.4,765.1,4169.5,1163.8,62.9,512.7,3.2
1992 Mar,74338.4,72840.9,1497.6,15392.0,1049.0,14341.8,1.2,0.0,0.0,0.0,4955.2,992.9,3960.1,2.2,122.0,0.1,0.0,47987.5,7430.7,28862.9,11694.0,463.0,288.2,31.5,6003.7,799.5,4040.9,1163.3,82.1,508.8,1.9
1992 Apr,74706.2,73301.2,1404.9,15657.0,972.2,14683.6,1.2,0.0,0.0,0.0,4720.5,870.4,3848.3,1.9,159.5,0.2,0.0,48360.5,7225.9,29391.1,11743.6,346.2,305.2,27.3,5968.1,727.0,4066.7,1174.4,93.8,470.9,1.9
1992 May,75753.7,74451.2,1302.5,16055.8,918.8,15135.8,1.2,0.0,0.0,0.0,4708.5,1062.2,3644.4,1.9,119.1,0.2,0.0,48919.9,7384.5,29785.4,11750.0,375.9,294.8,27.9,6069.5,850.2,4028.3,1191.0,76.9,405.3,2.4
1992 Jun,76303.2,74981.5,1321.6,16200.3,1000.3,15198.8,1.2,0.0,0.0,0.0,4566.8,1034.5,3531.5,0.7,118.4,0.2,0.0,49440.9,7655.4,29857.8,11927.7,428.5,298.1,23.6,6095.2,830.8,4060.3,1204.1,73.7,377.0,2.1
1992 Jul,77192.4,75873.7,1318.7,16370.6,1249.7,15119.7,1.2,0.0,0.0,0.0,4982.8,1034.7,3947.0,1.0,120.3,0.5,0.0,49876.3,7745.6,29804.4,12326.3,424.0,298.1,20.3,5962.7,772.3,3902.2,1288.2,70.1,383.4,2.0
1992 Aug,77567.0,76148.6,1418.5,16372.5,1147.3,15224.0,1.2,0.0,0.0,0.0,5332.5,1062.3,4269.2,1.0,139.0,0.2,0.0,49915.4,7676.0,29884.1,12355.2,521.0,272.0,19.7,5946.6,805.3,3838.6,1302.7,101.8,359.7,5.0
1992 Sep,78157.1,76779.2,1377.9,16770.6,1763.4,15006.1,1.1,0.0,0.0,0.0,5327.2,1081.8,4244.3,1.0,145.4,0.5,0.0,50014.9,7997.5,29530.3,12487.1,458.3,254.5,20.2,6044.4,890.8,3812.0,1341.6,69.4,427.6,2.0
1992 Oct,78292.8,76967.4,1325.4,16594.6,1576.2,15017.2,1.2,0.0,0.0,0.0,5333.3,976.7,4355.4,1.2,137.1,4.2,0.0,50340.0,8032.8,29646.6,12660.5,464.4,210.6,18.6,6024.9,865.7,3782.6,1376.6,81.4,407.0,2.1
1992 Nov,78146.8,77003.0,1143.7,16382.9,1369.8,15011.9,1.3,0.0,0.0,0.0,5128.4,1066.5,4060.8,1.0,90.8,0.6,0.0,50568.9,8083.0,29654.9,12831.0,330.9,205.2,29.0,6066.5,884.9,3800.0,1381.6,71.3,414.1,1.8
1992 Dec,78483.2,77323.3,1159.9,15603.6,1440.7,14161.7,1.2,0.0,0.0,0.0,5390.4,919.7,4468.7,2.0,99.7,0.2,0.0,51460.8,8455.6,29711.8,13293.4,339.5,219.7,19.3,6028.4,819.0,3794.7,1414.7,66.1,410.8,4.7
1993 Jan,77659.0,76497.9,1161.1,15271.7,1580.0,13690.5,1.2,0.0,0.0,0.0,4768.1,1002.3,3764.3,1.5,99.0,0.2,0.0,51532.0,8184.3,29855.3,13492.3,342.9,208.3,24.7,6087.2,836.2,3819.5,1431.6,70.3,411.6,4.1
1993 Feb,77592.2,76385.5,1206.6,15203.6,1476.2,13726.2,1.2,0.0,0.0,0.0,4529.6,1195.1,3331.7,2.8,110.3,0.3,0.0,51693.7,7995.9,30070.8,13627.0,370.4,204.2,25.6,6165.3,879.3,3860.9,1425.2,80.1,412.7,3.1
1993 Mar,78568.5,77377.3,1191.2,15089.5,1342.5,13745.7,1.2,0.0,0.0,0.0,4661.4,1215.9,3443.9,1.7,103.7,0.2,0.0,52738.4,8397.5,30657.6,13683.3,344.1,186.8,29.2,6079.2,874.2,3774.6,1430.4,70.0,453.9,3.4
1993 Apr,79511.0,78249.6,1261.4,15076.3,1234.0,13841.1,1.2,0.0,0.0,0.0,4546.5,1178.5,3366.7,1.2,103.0,3.4,0.0,53568.5,8975.6,30874.4,13718.5,438.1,184.7,27.1,6319.7,971.7,3894.8,1453.3,65.1,435.5,4.5
1993 May,80606.5,79438.3,1168.2,15064.2,1018.9,14044.1,1.3,0.0,0.0,0.0,4573.0,1176.3,3395.3,1.3,100.6,6.5,0.0,54513.3,9098.3,31360.2,14054.9,365.5,176.2,26.2,6455.9,1001.2,4006.3,1448.4,67.7,421.0,4.5
1993 Jun,80806.8,79677.8,1129.0,15027.2,1087.1,13938.9,1.2,0.0,0.0,0.0,4914.5,1332.8,3580.5,1.2,103.1,6.5,0.0,54515.5,8999.5,31451.5,14064.4,365.0,173.5,23.1,6349.6,1021.8,3846.2,1481.6,63.1,388.4,6.4
1993 Jul,80772.4,79712.4,1060.0,15033.0,1237.1,13794.7,1.2,0.0,0.0,0.0,4779.6,1061.9,3716.4,1.2,53.1,10.3,0.0,54647.7,9003.2,31584.3,14060.1,364.2,167.4,26.5,6312.1,998.6,3793.9,1519.6,66.2,358.9,13.3
1993 Aug,82049.0,80979.9,1069.1,14997.7,1261.9,13734.6,1.2,0.0,0.0,0.0,5144.3,1075.0,4068.0,1.2,42.4,13.7,0.0,55269.3,9266.4,31659.8,14343.1,390.6,178.3,21.6,6637.8,1134.6,3973.8,1529.3,76.2,337.7,8.5
1993 Sep,83187.7,82168.2,1019.5,14811.4,1090.3,13720.0,1.2,0.0,0.0,0.0,6411.8,1410.0,5000.6,1.2,45.6,13.9,0.0,55255.6,9512.6,30942.6,14800.4,403.0,178.2,23.4,6709.0,1174.2,3962.6,1572.1,96.6,253.9,4.9
1993 Oct,85938.4,84936.8,1001.6,14499.9,2347.3,12151.4,1.2,0.0,0.0,0.0,6362.1,2124.6,4236.2,1.2,44.2,9.9,0.0,58279.9,13203.8,29114.3,15961.9,396.6,175.9,29.3,6796.5,1546.6,3663.7,1586.2,99.7,241.7,4.4
1993 Nov,85341.4,84404.9,936.5,14927.6,1265.4,13662.0,0.2,0.0,0.0,0.0,6825.9,1845.6,4978.9,1.4,38.3,2.6,0.0,56948.1,10758.1,29420.4,16769.5,411.6,154.2,19.2,6639.8,1342.5,3728.0,1569.3,77.1,228.7,4.8
1993 Dec,85400.8,84415.1,985.7,14082.0,1184.8,12897.1,0.2,0.0,0.0,0.0,5943.1,1672.4,4269.4,1.4,41.0,2.4,0.0,58713.5,11419.4,29203.9,18090.2,418.2,156.5,30.9,6662.2,1488.9,3507.6,1665.7,100.8,229.9,6.0
1994 Jan,84671.2,83695.7,975.5,14286.1,1229.3,13056.6,0.2,0.0,0.0,0.0,5939.3,1720.8,4217.2,1.4,36.5,2.7,0.0,57849.9,11200.4,29432.0,17217.5,444.0,142.9,19.3,6595.9,1309.9,3689.8,1596.1,95.3,227.4,7.3
1994 Feb,84611.1,83662.6,948.4,14401.8,1317.5,13084.2,0.2,0.0,0.0,0.0,5577.7,1597.2,3979.1,1.4,36.8,2.3,0.0,57977.8,10588.8,30405.9,16983.2,426.1,142.6,23.0,6653.7,1241.4,3842.4,1569.9,88.6,220.3,8.8
1994 Mar,86070.2,85089.1,981.1,15129.9,1530.8,13598.9,0.2,0.0,0.0,0.0,6687.5,1923.7,4762.1,1.6,39.7,2.3,0.0,57639.2,10773.1,30643.3,16222.9,429.4,137.4,39.3,6613.6,1183.5,3858.5,1571.6,84.3,215.6,33.0
1994 Apr,87028.7,86069.8,958.9,15170.6,1209.0,13961.5,0.1,0.0,0.0,0.0,7253.6,1560.5,5691.3,1.8,42.4,6.5,0.0,57664.5,10321.2,31354.7,15988.6,418.2,135.6,32.0,6940.0,1226.6,4114.8,1598.6,92.0,213.8,18.3
1994 May,88963.6,88030.4,933.2,15533.2,1220.6,14308.6,4.0,0.0,0.0,0.0,7469.0,1837.4,5485.4,146.3,38.6,1.1,0.0,58739.9,10412.0,32562.3,15765.5,401.5,136.1,50.1,7221.5,1245.9,4378.2,1597.4,82.3,213.5,9.9
1994 Jun,90063.2,89071.0,992.2,15852.7,1311.6,14539.4,1.8,0.0,0.0,0.0,7190.1,1758.8,5295.5,135.8,42.7,2.8,0.0,59855.1,10864.5,33229.7,15760.8,430.2,142.4,40.7,7165.2,1279.5,4274.3,1611.4,109.9,211.9,11.7
1994 Jul,91799.7,90813.2,986.5,16007.5,1434.7,14571.8,1.0,0.0,0.0,0.0,7712.7,1488.0,6089.8,135.0,41.7,2.4,0.0,60539.2,10738.5,34117.3,15683.4,435.8,139.1,30.4,7540.3,1278.9,4595.7,1665.6,107.9,211.5,17.9
1994 Aug,93073.7,92085.4,988.3,16060.5,1225.0,14835.0,0.5,0.0,0.0,0.0,6853.4,1694.0,5091.6,67.8,39.2,3.8,0.0,62277.8,11053.6,35019.6,16204.6,451.5,141.9,44.2,7882.0,1236.9,4972.4,1672.7,91.3,204.8,11.7
1994 Sep,95042.2,94012.6,1029.5,16722.9,1852.5,14869.2,1.3,0.0,0.0,0.0,7142.3,1540.7,5552.7,49.0,46.8,6.9,0.0,63118.8,11260.8,35429.7,16428.2,436.4,138.3,39.1,8058.2,1448.0,4887.5,1722.8,142.1,196.8,23.1
1994 Oct,95494.6,94449.5,1045.1,15858.6,1425.7,14430.7,2.2,0.0,0.0,0.0,7927.4,2014.6,5802.2,110.7,38.9,4.9,0.0,63447.3,11455.7,35509.4,16482.2,486.2,140.2,30.5,8261.2,1389.3,5099.6,1772.4,141.7,192.9,9.8
1994 Nov,97436.8,96505.4,931.4,16581.3,1085.5,15494.3,1.5,0.0,0.0,0.0,7886.1,1887.3,5959.0,39.8,36.1,5.7,0.0,64606.1,11525.5,37148.9,15931.6,434.2,126.9,25.6,8363.3,1352.8,5242.1,1768.5,99.3,192.9,10.6
1994 Dec,99032.2,98035.5,996.7,16262.6,1143.0,15117.8,1.8,0.0,0.0,0.0,8525.9,1879.6,6536.0,110.3,36.5,7.4,0.0,65762.3,11463.3,38059.2,16239.8,436.8,130.3,28.4,8481.5,1301.8,5370.2,1809.5,102.4,245.8,9.1
1995 Jan,99575.0,98526.3,1048.6,16539.5,2017.2,14520.5,1.7,0.0,0.0,0.0,8216.5,1766.8,6238.7,210.9,36.6,7.2,0.0,66141.4,11598.1,37828.8,16714.5,481.4,132.5,26.2,8677.6,1390.9,5377.5,1909.2,109.2,235.9,19.7
1995 Feb,100283.6,99113.5,1170.1,16956.6,1543.5,15411.9,1.3,0.0,0.0,0.0,7594.1,1599.1,5835.7,159.3,36.0,7.4,0.0,66605.1,11454.3,37790.2,17360.6,525.8,122.6,136.5,9127.9,1524.0,5534.0,2069.8,116.0,193.8,32.0
1995 Mar,100332.1,99311.8,1020.3,14786.0,1942.9,12841.7,1.4,0.0,0.0,0.0,8412.9,1815.4,6407.8,189.6,38.5,8.7,0.0,67938.7,11348.8,38998.8,17591.1,483.8,120.8,34.4,9194.5,1382.0,5649.8,2162.8,101.1,200.6,32.4
1995 Apr,102061.5,101042.0,1019.6,14901.1,2313.1,12586.4,1.5,0.0,0.0,0.0,8610.1,1999.9,6395.1,215.1,44.2,9.3,0.0,69006.3,11394.2,39596.7,18015.3,489.5,122.5,39.7,9544.1,1450.0,5834.1,2260.0,91.1,196.5,26.8
1995 May,103399.6,102350.3,1049.3,14206.3,2240.4,11964.9,1.0,0.0,0.0,0.0,8793.3,2393.4,6179.6,220.4,40.2,9.4,0.0,70665.8,12603.1,39079.6,18983.0,510.0,122.6,36.9,9734.2,1456.5,5726.5,2551.2,116.0,195.5,18.7
1995 Jun,103653.7,102627.9,1025.8,15140.4,1884.6,13255.0,0.8,0.0,0.0,0.0,9275.5,1782.0,7266.6,226.9,48.8,11.1,0.0,69742.4,12215.6,38764.1,18762.6,499.4,119.8,41.0,9495.4,1289.2,5528.9,2677.2,92.2,194.9,18.6
1995 Jul,102634.2,101600.7,1033.5,14607.2,1772.8,12833.4,1.0,0.0,0.0,0.0,8624.6,1768.4,6611.1,245.2,40.1,10.1,0.0,69573.6,11938.0,38489.1,19146.5,518.9,113.4,27.9,9828.7,1365.3,5804.2,2659.3,95.1,218.5,9.4
1995 Aug,104333.1,103094.7,1238.4,15277.6,2095.8,13180.8,1.0,0.0,0.0,0.0,8697.6,1879.9,6591.3,226.4,38.0,12.4,0.0,70353.0,12141.6,38535.3,19676.1,527.1,115.7,56.5,10004.9,1292.5,5921.4,2791.0,168.8,309.8,10.1
1995 Sep,104538.7,103478.6,1060.1,15170.6,1938.1,13231.6,1.0,0.0,0.0,0.0,9130.0,1908.4,6949.2,272.4,32.0,15.9,0.0,70280.1,12158.2,38281.5,19840.4,541.9,114.2,31.3,9958.0,1403.7,5770.1,2784.3,95.6,218.4,10.7
1995 Oct,104716.9,103616.2,1100.7,15554.9,2168.0,13386.0,0.9,0.0,0.0,0.0,9183.3,1649.6,7256.5,277.2,10.9,15.4,0.0,70222.2,12285.0,37955.0,19982.2,574.5,116.7,33.8,9756.6,1163.1,5775.0,2818.4,115.9,222.8,10.8
1995 Nov,106226.9,105159.3,1067.7,15800.2,1521.0,14278.2,1.1,0.0,0.0,0.0,9315.1,1631.5,7442.0,241.7,14.8,14.1,0.0,71087.4,12453.9,38418.0,20215.5,550.0,116.9,32.4,10024.2,1112.8,6059.3,2852.1,106.4,220.5,12.6
1995 Dec,108885.5,107833.0,1052.6,16507.1,1764.3,14738.8,4.1,0.0,0.0,0.0,10280.1,1984.5,8215.4,80.3,16.7,8.1,0.0,71998.2,12610.5,38576.3,20811.5,558.4,120.8,22.3,10100.0,1178.7,5859.1,3062.2,97.2,216.3,12.7
1996 Jan,108719.4,107647.0,1072.4,15206.5,1865.8,13337.3,3.5,0.0,0.0,0.0,9586.1,2354.0,7168.2,63.9,16.0,6.4,0.0,73602.0,13094.5,38800.9,21706.7,562.6,119.5,28.8,10324.8,1218.5,5999.1,3107.2,117.8,204.5,16.9
1996 Feb,110607.4,109522.6,1084.9,16458.3,3247.4,13207.4,3.5,0.0,0.0,0.0,9891.6,2158.3,7636.4,96.9,18.3,5.2,0.0,73894.2,12720.2,38947.2,22226.8,592.3,118.4,21.3,10363.3,1106.2,6062.3,3194.8,110.3,202.8,16.3
1996 Mar,110933.3,109867.8,1065.5,15258.3,1707.6,13547.8,2.9,0.0,0.0,0.0,11128.0,2202.7,8861.1,64.2,22.2,5.8,0.0,74339.3,12636.6,39650.8,22051.8,572.9,133.1,22.7,10207.8,1008.7,5909.7,3289.5,106.0,189.6,13.2
1996 Apr,112888.6,111770.8,1117.8,15525.7,2198.8,13321.4,5.5,0.0,0.0,0.0,11133.6,2065.8,8978.5,89.2,20.3,8.2,0.0,75591.0,13207.2,39729.4,22654.4,589.8,141.8,43.5,10638.3,1139.8,6140.6,3357.9,119.9,186.7,7.6
1996 May,114253.2,113175.0,1078.2,15940.3,2096.4,13837.4,6.5,2.7,0.0,0.0,11054.0,2041.6,8935.0,77.4,16.2,15.3,0.0,76364.0,12973.0,40518.4,22872.6,565.2,113.7,44.6,10894.9,1152.9,6320.3,3421.7,111.8,200.3,8.4
1996 Jun,114746.3,113516.7,1229.6,16072.1,1886.3,14178.9,6.9,2.7,0.0,0.0,10825.7,1909.9,8862.5,53.4,21.8,16.2,0.0,77233.5,13534.9,40822.2,22876.5,716.9,119.1,28.8,10614.9,1148.8,5977.7,3488.4,112.4,204.9,6.8
1996 Jul,115647.8,114549.1,1098.7,16080.1,1949.5,14126.5,4.0,2.4,0.0,0.0,11235.1,2009.3,9164.7,61.0,16.7,26.5,0.0,77586.4,13226.7,41431.0,22928.8,554.0,114.5,47.1,10746.2,1180.3,6055.2,3510.7,111.2,217.7,8.7
1996 Aug,115741.8,114687.0,1054.8,16430.9,2162.6,14265.4,2.8,0.0,0.0,0.0,10748.0,1837.1,8811.4,99.5,19.7,17.8,0.0,78001.0,13111.1,41736.0,23153.9,540.9,111.8,37.3,10561.9,1077.3,6009.9,3474.7,96.6,221.1,9.6
1996 Sep,115384.4,114293.7,1090.7,16142.6,2505.6,13635.9,1.2,0.0,0.0,0.0,10671.7,1770.3,8800.6,100.8,22.4,8.3,0.0,78408.1,13103.1,42092.3,23212.6,597.7,111.3,24.2,10162.0,1027.4,5630.7,3503.9,91.5,226.5,8.7
1996 Oct,115553.8,114488.0,1065.9,15724.8,2214.4,13509.7,0.7,1.6,0.0,0.0,11123.7,2014.3,8994.1,115.4,26.1,10.0,0.0,78356.0,13309.5,41850.7,23195.8,556.1,111.2,22.8,10349.3,1076.0,5790.1,3483.2,112.4,217.5,8.1
1996 Nov,117294.0,116180.1,1113.9,16300.9,2007.9,14291.4,1.6,0.0,0.0,0.0,11556.3,1985.5,9430.3,140.5,25.7,7.6,0.0,78956.0,13419.4,42066.9,23469.8,569.6,115.3,21.3,10480.7,1090.9,5935.2,3454.6,117.9,248.8,7.8
1996 Dec,118201.5,117052.4,1149.1,15824.3,2111.7,13710.8,1.8,0.3,0.0,0.0,11979.4,1991.0,9808.6,179.8,22.2,6.1,0.0,79905.7,13718.2,42288.4,23899.1,628.6,116.3,32.4,10492.1,1041.7,5994.9,3455.5,107.8,223.8,11.6
1997 Jan,118632.7,117471.2,1161.5,15793.7,2075.9,13717.5,0.3,0.0,0.0,0.0,11154.4,2473.7,8457.2,223.5,19.2,1.8,0.0,81026.9,14231.8,42209.8,24585.4,621.0,122.1,19.8,10657.8,1145.0,5958.8,3554.0,130.0,232.5,15.0
1997 Feb,120108.0,118950.2,1157.8,15866.4,2279.9,13586.1,0.3,1.7,0.0,0.0,10651.6,2163.1,8252.5,236.0,36.1,2.5,0.0,82487.5,13780.7,43254.3,25452.6,598.8,122.3,21.4,11102.5,1137.5,6279.2,3685.9,126.0,236.9,12.2
1997 Mar,120011.2,118865.8,1145.4,13403.5,2555.9,10847.2,0.4,0.0,0.0,0.0,11225.5,2119.8,8876.0,229.7,23.6,3.0,0.0,84479.0,14097.2,45436.6,24945.1,617.0,119.7,22.2,10903.2,1283.8,5856.6,3762.8,106.8,239.1,14.0
1997 Apr,119421.9,118308.9,1112.9,12167.1,2058.5,10108.1,0.4,0.0,0.0,0.0,11266.8,2097.7,8920.9,248.2,18.8,2.9,0.0,85218.6,13884.1,46390.5,24944.0,579.0,118.0,33.3,10769.3,1090.1,5920.1,3759.2,116.8,233.9,10.3
1997 May,119732.7,118545.5,1187.2,12867.5,1909.2,10957.8,0.5,0.0,0.0,0.0,11411.4,2084.2,9050.3,276.8,24.0,1.9,0.0,84673.4,13622.2,46118.3,24932.9,608.8,122.0,64.4,10780.4,1099.2,5934.8,3746.4,106.7,242.9,16.5
1997 Jun,119668.3,118433.5,1234.8,12722.7,1685.1,11037.1,0.5,27.1,0.0,0.0,11042.6,2242.6,8511.2,288.8,29.2,3.2,0.0,85456.4,14381.9,46362.8,24711.7,634.0,128.2,46.5,10446.6,1008.8,5741.6,3696.2,110.9,245.8,10.0
1997 Jul,121287.6,120004.1,1283.4,12812.9,1866.3,10946.0,0.5,0.2,0.0,0.0,11563.2,2129.5,9143.4,290.3,26.9,3.2,0.0,86116.7,14341.4,47063.9,24711.4,667.7,130.6,46.7,10794.8,1044.3,6080.6,3670.0,133.9,256.3,18.0
1997 Aug,122335.1,120970.6,1364.5,14199.0,2265.3,11933.2,0.5,0.3,0.0,0.0,11702.6,2080.5,9443.8,178.2,76.1,3.2,0.0,85811.4,13825.2,47478.4,24507.8,660.9,146.8,87.4,10622.1,1001.2,5977.7,3643.2,128.4,245.8,15.6
1997 Sep,121839.5,120630.6,1208.9,13109.5,2128.0,10981.1,0.4,0.2,0.0,0.0,11444.6,1778.7,9446.4,219.5,44.9,5.0,0.5,86547.9,14405.1,48106.5,24036.3,581.7,142.8,66.7,10737.5,1060.4,6161.7,3515.4,110.5,238.1,18.3
1997 Oct,121969.4,120566.2,1403.1,12408.7,1531.9,10876.5,0.4,1.3,0.0,0.0,12258.0,2020.9,10136.8,100.2,26.7,2.1,0.5,86812.3,14238.3,48958.4,23615.6,745.8,151.3,64.7,10490.4,963.0,6085.4,3442.0,128.5,246.5,35.7
1997 Nov,123111.6,121859.3,1252.3,13239.5,1905.0,11334.2,0.4,0.6,0.0,0.0,12216.3,1931.1,10210.8,74.4,43.1,4.9,0.6,86975.0,13741.7,49849.8,23383.4,622.1,156.3,32.7,10680.8,939.0,6327.5,3414.3,114.4,244.4,33.3
1997 Dec,124143.0,122872.6,1270.5,12428.8,1573.0,10855.6,0.2,2.0,0.0,0.0,13115.9,1920.0,11107.6,88.2,31.1,3.0,0.5,88091.1,13930.2,51654.7,22506.2,666.2,158.3,29.5,10507.3,874.1,6471.2,3162.1,109.9,265.6,4.2
